2017-05-08 19:20:35,451 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.codebuild:maven-demo:0.0.1-SNAPSHOT @ C:\Users\I339637\Documents\004-gitrepos\Sap\JPA-MysqlBackend\TutorialJPAProject\maven-demo\pom.xml.
2017-05-08 19:20:36,568 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven-demo/src/main/java
2017-05-08 19:20:36,568 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /maven-demo/src/main/resources
2017-05-08 19:20:36,568 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /maven-demo/src/test/java
2017-05-08 19:20:36,568 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /maven-demo/src/test/resources
2017-05-08 19:20:37,069 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 19:20:37,091 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-08 19:20:37,091 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 19:20:37,091 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-08 19:23:04,451 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 19:23:04,488 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-08 19:23:04,488 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 19:23:04,488 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-08 23:56:14,994 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 23:56:14,997 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-08 23:56:14,999 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 23:56:15,001 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-08 23:56:42,581 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 23:56:42,581 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-08 23:56:42,581 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-08 23:56:42,581 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-22 10:03:39,171 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Updating Profile SAP Financial Services Network
2017-05-22 10:03:39,181 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Registering Profile SAP Financial Services Network
2017-05-22 10:03:40,475 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Updating Profile SAP Cloud Platform Integration
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Registering Profile SAP Cloud Platform Integration
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::SOAP 1.x/direction::Sender/version::1.3.0
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name PrincipalPropagationProviderUtilSupport
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name SAP:Twitter
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name SAP:Facebook
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ODC
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Variables/version::1.0.3
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name XmlValidator
2017-05-22 10:03:40,476 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::XSLTMapping/version::1.1.5
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name PGPEncrypt
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name XmlToJsonConverter
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name SFTP
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Encrypt
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Multicast/version::1.1.0
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::SOAP 1.x/direction::Receiver/version::1.2.1
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::sap:Mail/tp::IMAP/mp::Not Applicable/direction::Sender/version::1.1.1
2017-05-22 10:03:40,477 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::sap:Mail/tp::POP3/mp::Not Applicable/direction::Sender/version::1.1.1
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Aggregator
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HTTP/tp::HTTP/mp::None/direction::Receiver/version::1.3.0
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name put
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::TerminateEndEvent
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Decoder/Base64 Decode
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::delete/version::1.1.1
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::VerifySign
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name SOAP
2017-05-22 10:03:40,478 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HCIOData/tp::HTTP/mp::OData V2/direction::Receiver/version::1.1.0
2017-05-22 10:03:40,479 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HCIOData/tp::HTTP/mp::OData V2/direction::Receiver/version::1.3.1
2017-05-22 10:03:40,479 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SFTP/tp::SFTP/mp::File/direction::Sender/version::1.3.0
2017-05-22 10:03:40,479 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Encoder/ZIP Compress
2017-05-22 10:03:40,479 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::GeneralSplitter/version::1.0.2
2017-05-22 10:03:40,479 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::HTTPS/tp::HTTPS/mp::None/direction::Sender/version::1.2
2017-05-22 10:03:40,479 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SFTP/tp::SFTP/mp::File/direction::Receiver/version::1.2.0
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::MIME Multipart Message Encode/version::1.1.1
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowElementVariant/cname::LocalIntegrationProcess/version::1.0
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::select/version::1.1.1
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Persist
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Script
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::IDOC/tp::HTTP/mp::IDoc SOAP/direction::Sender/version::1.2.0
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::IDOC/tp::HTTP/mp::IDoc SOAP/direction::Sender/version::1.3.0
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name MessageDigest
2017-05-22 10:03:40,480 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Enricher/version::1.2.3
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::SOAP 1.x/direction::Sender/version::1.2.1
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::Plain SOAP/direction::Receiver/version::1.3.5
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name MIME Multipart Message Decode
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::SOAP/tp::HTTP/mp::SOAP 1.x/direction::Sender/version::1.1.3
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::AdapterVariant/cname::IDOC/tp::HTTP/mp::IDoc SOAP/direction::Receiver/version::1.3.1
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name EndEvent/EscalationEventDefinition
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::LoopingProcess/version::1.1.0
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Request-Reply
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name ctype::FlowstepVariant/cname::Multicast/version::1.0.0
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name PGPDecrypt
2017-05-22 10:03:40,481 [Worker-4] INFO  c.s.i.p.p.i.ProductProfileManagerImpl - Capability name Encoder/GZIP Compress
